,name,x,y
180,red_chili_peppers,12.053571,31.670904
181,grape,21.469503,-13.579687
182,tuna,48.63371,24.276493
183,cauliflower,12.555009,18.40912
184,clove,16.72742,-0.3382859
185,feta_cheese,61.623177,22.677277
186,anise,1.3933837,38.3348
187,clam,49.04761,18.881468
188,maple_syrup,62.93677,-7.036744
189,fruit,64.16832,-1.1383203
190,peach,59.927734,0.56362045
191,beer,-54.497597,13.793908
192,roasted_sesame_seed,55.154335,16.659338
193,coarse_salt,-17.072807,20.360912
194,mushrooms,-13.216343,8.727576
195,warm_water,39.600998,-24.973541
196,orange_peel,63.969425,10.347781
197,brandy,13.616345,-32.168045
198,artichoke,-32.15888,-25.363968
199,capers,-22.082539,-18.387352
200,pear,57.309654,5.396382
201,radish,54.983875,16.565054
202,swiss_cheese,71.903564,21.228249
203,horseradish,-31.0212,-8.911516
204,sweet_potato,60.026188,33.678993
205,cold_water,30.975441,34.647354
206,mirin,-12.811578,61.58017
207,powdered_sugar,59.380493,-31.630003
208,eggplant,-24.155725,19.715357
209,lemongrass,14.08108,43.45131
210,smoke,72.79479,28.0539
211,cooking_oil,4.141315,31.066723
212,black_bean,70.90403,31.242466
213,sliced_green_onions,-35.277973,39.757187
214,blueberry,61.022415,2.3296835
215,raisins,28.264336,-41.337624
216,sauce,-36.223804,29.090324
217,chickpea,29.190994,22.535465
218,sweet_potatoes,35.582207,-40.65424
219,beansprouts,7.8282557,47.220943
220,crushed_tomatoes,-40.50121,3.566215
221,black_peppercorns,16.57742,-0.56030786
222,date,70.60551,-0.15633836
223,kidney_bean,70.26194,30.61825
224,leeks,-3.054544,-17.690065
225,cashew,8.941016,18.034555
226,okra,-27.366625,2.457889
227,ketchup,-34.31936,14.099198
228,hoisin_sauce,1.6020075,46.557564
229,light_brown_sugar,29.958826,-12.788049
230,whiskey,63.359753,-8.760642
231,leek,61.75812,27.594242
232,smoked_sausage,-29.285131,2.5971406
233,spring_onions,15.10543,32.142212
234,peanuts,14.985644,52.123425
235,chickpeas,4.8817325,3.8968308
236,blue_cheese,60.516224,23.693548
237,confectioners_sugar,59.402824,-31.520643
238,italian_seasoning,-42.441013,-37.828556
239,veal,-7.7555494,-31.03333
240,frozen_peas,-1.500139,9.994476
241,cajun_seasoning,-28.973688,-0.19144182
242,ground_cloves,20.75941,-2.3072872
243,white_bread,69.11071,18.36742
244,cornmeal,-3.3867195,-46.01129
245,spinach,-23.17559,15.08579
246,ground_allspice,22.507471,-3.8633685
247,hot_water,32.74127,33.550495
248,boiling_water,32.84183,33.48791
249,spaghetti,-27.121786,-38.188267
250,cottage_cheese,73.070335,18.678146
251,pinenuts,-21.495749,-32.53262
252,smoked_paprika,-18.83943,7.4050555
253,green_beans,-7.5868654,6.0964866
254,brown_rice,67.46176,19.411444
255,half_&_half,21.142937,-49.08529
256,pimento,-34.57615,-48.350895
257,tomatillos,-62.01734,20.865915
258,pasta,-28.578075,-38.52358
259,chiles,-53.867733,30.18933
260,mandarin,56.636127,1.2097747
261,dark_brown_sugar,29.748287,-12.379303
262,caraway,8.647195,-15.226334
263,cured_pork,71.73612,24.386213
264,squid,48.66693,19.836359
265,hazelnut,70.61658,3.0416214
266,egg_noodle,75.63103,20.904299
267,ghee,16.739925,10.489663
268,green_chile,-54.631405,2.5256917
269,tortilla_chips,-64.60415,2.0028396
270,currant,71.13816,-1.5927484
271,kale,-20.638521,13.209728
272,serrano_chile,-53.43417,30.841263
273,tequila,44.59057,-1.9219378
274,chopped_tomatoes,-42.253403,6.4454117
275,sriracha,2.393111,46.940487
276,enchilada_sauce,-63.574604,-2.0325873
277,toasted_sesame_seeds,-3.727337,61.060097
278,barley,61.352135,30.16707
279,fine_sea_salt,-15.011797,21.013655
280,cod,49.863647,21.675556
281,prosciutto,-22.20794,-35.18383
282,chopped_pecans,45.885582,-39.44224
283,radishes,-48.969685,23.646864
284,juice,-20.10154,20.858204
285,creole_seasoning,-28.890917,-0.17986108
286,lentil,29.219381,22.545635
287,romano_cheese,73.05856,23.928946
288,fresh_mushrooms,-14.168423,8.13784
289,taco_seasoning,-62.291218,-4.744197
290,baguette,-37.539234,-20.897825
291,tea,46.954178,-3.0543542
292,scallop,50.440598,18.58727
293,andouille_sausage,-28.05616,1.2538773
